,brand,color,gear,year,body,loc_1,usage,price
0,پژو 405 GLX بنزینی,خاکستری,دنده‌ای,1397,بدون رنگ,قم,55000.0,70000000.0
1,پراید 111 EX,آبی,دنده‌ای,1392,یک لکه رنگ,شیراز,40000.0,34000000.0
2,پژو 206 تیپ ۲,نقره‌ای,دنده‌ای,1384,چند لکه رنگ,شیراز,300000.0,36500000.0
3,پراید 131 SE,سفید صدفی,دنده‌ای,1386,یک لکه رنگ,تبریز,250.0,27200000.0
4,پراید 131 SE,زیتونی,دنده‌ای,1387,چند لکه رنگ,مشهد,277.0,30000000.0
5,پژو 405 GLX بنزینی,مشکی,دنده‌ای,1382,چند لکه رنگ,کرج,0.0,27000000.0
6,پژو 206 تیپ ۵,مشکی,دنده‌ای,1394,بدون رنگ,اهواز,90000.0,65000000.0
7,پژو 206 تیپ ۲,یشمی,دنده‌ای,1381,یک لکه رنگ,اصفهان,300.0,29500000.0
8,پراید 131 SX,سرمه‌ای,دنده‌ای,1386,بدون رنگ,مشهد,180000.0,27500000.0
9,پراید 131 EX,یشمی,دنده‌ای,1381,بدون رنگ,تهران,3000.0,16000000.0
10,پژو 206 تیپ ۲,سفید,دنده‌ای,1388,چند لکه رنگ,تهران,170.0,52800000.0
11,پراید 131 SE,سفید,دنده‌ای,1398,بدون رنگ,تبریز,0.0,48700000.0
12,جک S5 اتوماتیک,سفید,اتوماتیک,1396,بدون رنگ,تهران,360.0,260000000.0
13,دنا معمولی 1700cc,مشکی,دنده‌ای,1394,یک لکه رنگ,مشهد,360.0,92500000.0
14,پراید 131 EX,سفید,دنده‌ای,1398,بدون رنگ,تهران,0.0,19000000.0
15,پژو 206 تیپ ۲,مشکی,دنده‌ای,1381,چند لکه رنگ,مشهد,0.0,28000000.0
16,پژو 206 تیپ ۲,بژ,دنده‌ای,1385,چند لکه رنگ,شیراز,240000.0,39000000.0
17,سمند LX EF7 گازسوز,سفید,دنده‌ای,1395,بدون رنگ,کرمانشاه,80000.0,9500000.0
18,پژو پارس ساده,سفید,دنده‌ای,1393,چند لکه رنگ,تهران,114000.0,72000000.0
19,پراید 131 SE,سفید,دنده‌ای,1396,بدون رنگ,تهران,61000.0,36900000.0
20,پژو 405 GLX بنزینی,نوک‌مدادی,دنده‌ای,1394,چند لکه رنگ,تهران,149000.0,54500000.0
21,پژو 405 GLX بنزینی,نقره‌ای,دنده‌ای,1397,یک لکه رنگ,شیراز,40.0,70000000.0
22,پراید 131 SE,سفید,دنده‌ای,1397,بدون رنگ,کرج,7000.0,49000000.0
23,دنا معمولی,سفید,دنده‌ای,1397,بدون رنگ,رشت,32000.0,120000000.0
24,جک S5 اتوماتیک,سفید,اتوماتیک,1396,بدون رنگ,مشهد,39000.0,263000000.0
25,پژو 405 GLX بنزینی,مشکی,دنده‌ای,1394,بدون رنگ,تهران,69000.0,55000000.0
