,brand,color,gear,year,body,loc,usage,price
0,26,6,1,21,0,6,55000.0,70000000.0
1,12,0,1,16,3,5,40000.0,34000000.0
2,24,23,1,8,2,5,300000.0,36500000.0
3,19,15,1,10,3,2,250.0,27200000.0
4,19,10,1,11,2,7,277.0,30000000.0
5,26,21,1,6,2,8,0.0,27000000.0
6,25,21,1,18,0,1,90000.0,65000000.0
7,24,26,1,5,3,0,300.0,29500000.0
8,21,13,1,10,0,7,180000.0,27500000.0
9,17,26,1,5,0,3,3000.0,16000000.0
10,24,14,1,12,2,3,170.0,52800000.0
11,19,14,1,22,0,2,0.0,48700000.0
12,3,14,0,20,0,3,360.0,260000000.0
13,6,21,1,18,3,7,360.0,92500000.0
14,17,14,1,22,0,3,0.0,19000000.0
15,24,21,1,5,2,7,0.0,28000000.0
16,24,5,1,9,2,5,240000.0,39000000.0
17,9,14,1,19,0,9,80000.0,9500000.0
18,27,14,1,17,2,3,114000.0,72000000.0
19,19,14,1,20,0,3,61000.0,36900000.0
20,26,24,1,18,2,3,149000.0,54500000.0
21,26,23,1,21,3,5,40.0,70000000.0
22,19,14,1,21,0,8,7000.0,49000000.0
23,5,14,1,21,0,4,32000.0,120000000.0
24,3,14,0,20,0,7,39000.0,263000000.0
25,26,21,1,18,0,3,69000.0,55000000.0
26,17,6,1,16,1,3,130000.0,34000000.0
27,19,14,1,20,2,3,80.0,42000000.0
28,24,5,1,6,2,8,450.0,33000000.0
29,24,23,1,13,3,3,180000.0,55000000.0
30,10,14,1,12,0,3,210000.0,40000000.0
31,27,14,1,18,0,3,84000.0,81000000.0
32,13,14,1,17,3,1,81000.0,38500000.0
33,8,15,1,20,0,0,77000.0,83000000.0
34,27,14,1,11,1,0,280000.0,50000000.0
35,25,14,1,19,3,3,60000.0,86500000.0
36,10,14,1,20,0,3,50000.0,76000000.0
37,26,23,1,21,0,8,18000.0,70000000.0
38,26,17,1,5,2,0,1.0,25000000.0
39,24,5,1,7,1,3,219000.0,37000000.0
40,27,14,1,11,0,7,230000.0,53500000.0
41,10,23,1,12,0,5,300000.0,40000000.0
42,9,14,1,22,0,3,0.0,35000000.0
43,2,14,1,21,0,7,59000.0,55500000.0
44,7,14,1,20,0,3,20000.0,78000000.0
45,24,21,1,5,2,0,360000.0,30000000.0
46,26,23,1,17,3,7,82000.0,57500000.0
47,24,14,1,20,2,8,60000.0,72000000.0
48,8,14,1,14,1,5,150000.0,54000000.0
49,10,14,1,18,0,8,50.0,78000000.0
50,26,23,1,12,1,7,31000.0,40000000.0
51,24,21,1,6,1,0,390000.0,34000000.0
52,26,5,1,8,2,3,298400.0,30500000.0
53,24,7,1,14,0,5,230.0,58000000.0
54,24,14,1,21,0,3,28000.0,83000000.0
55,10,0,1,21,0,3,32000.0,78000000.0
56,26,17,1,3,2,6,0.0,18500000.0
57,10,14,1,21,0,1,22000.0,76000000.0
58,24,14,1,20,0,0,60000.0,80000000.0
59,10,9,1,7,2,5,407.0,25000000.0
60,8,14,1,21,0,3,78.0,97000000.0
61,13,14,1,21,0,7,39.0,50500000.0
62,24,24,1,10,2,3,235000.0,47500000.0
63,24,5,1,6,2,7,340000.0,28800000.0
64,24,14,1,18,0,0,60000.0,75000000.0
65,25,14,1,20,0,3,60000.0,96000000.0
66,24,6,1,22,0,3,0.0,84000000.0
67,26,24,1,20,0,8,69000.0,70000000.0
68,25,14,1,20,0,1,65000.0,95000000.0
69,25,4,1,18,1,3,130000.0,73000000.0
70,25,6,1,9,2,3,197000.0,45000000.0
71,25,6,1,21,0,7,40000.0,100000000.0
72,24,23,1,5,2,9,250000.0,33000000.0
73,27,5,1,3,2,4,350000.0,28000000.0
74,19,14,1,19,0,3,20.0,43000000.0
75,13,14,1,19,1,3,64000.0,44200000.0
76,19,14,1,21,0,3,71000.0,46500000.0
77,5,13,1,19,0,3,47000.0,113000000.0
78,21,14,1,14,1,3,190000.0,31500000.0
79,26,21,1,6,2,3,346000.0,29000000.0
80,25,14,1,21,3,3,39000.0,96000000.0
81,23,23,1,13,2,8,300.0,27500000.0
82,24,22,1,8,0,0,311000.0,42000000.0
83,26,6,1,12,2,5,1.0,34000000.0
84,15,14,1,19,0,0,75000.0,47000000.0
85,24,23,1,5,2,8,250000.0,27500000.0
86,24,14,1,11,1,7,220.0,45000000.0
87,25,0,1,17,1,0,105.0,72000000.0
88,3,14,0,19,0,0,360.0,255000000.0
89,25,7,1,7,2,3,280000.0,39500000.0
90,26,23,1,16,3,3,108000.0,55000000.0
91,21,21,1,8,2,0,200000.0,23500000.0
92,26,23,1,21,0,3,20000.0,74000000.0
93,21,23,1,14,1,8,190000.0,33500000.0
94,27,14,1,22,0,9,0.0,102500000.0
95,10,6,1,18,0,0,115000.0,65000000.0
96,26,23,1,18,0,7,65000.0,61000000.0
97,19,14,1,21,0,3,33000.0,49000000.0
98,27,23,1,9,1,3,225000.0,44500000.0
99,24,5,1,7,2,7,264.0,32500000.0
100,6,14,1,22,0,3,0.0,121500000.0
101,24,23,1,8,3,7,270000.0,35000000.0
102,26,23,1,11,2,8,36.0,38000000.0
103,27,14,1,15,2,7,120000.0,52000000.0
104,13,24,1,20,0,3,28000.0,45500000.0
105,7,23,1,8,0,3,213.0,39000000.0
106,17,14,1,18,0,7,176000.0,35500000.0
107,21,23,1,15,0,3,110000.0,29200000.0
108,7,14,1,21,0,8,44000.0,112000000.0
109,10,26,1,5,2,8,390000.0,20500000.0
110,25,6,1,17,0,1,140000.0,73000000.0
111,13,14,1,22,0,9,0.0,5640000.0
112,17,14,1,21,0,3,76000.0,47000000.0
113,24,5,1,7,3,3,260.0,35500000.0
114,27,24,1,17,0,3,75000.0,75000000.0
115,25,14,1,20,0,0,78.0,92500000.0
116,10,23,1,11,3,7,350000.0,43000000.0
117,10,14,1,14,3,0,200000.0,52000000.0
118,19,14,1,18,2,8,57.0,36000000.0
119,19,14,1,20,2,5,200000.0,43000000.0
120,19,14,1,19,3,3,168.0,40200000.0
121,26,6,1,21,0,3,21000.0,76000000.0
122,15,14,1,19,0,0,60.0,48000000.0
123,24,14,1,22,0,3,5000.0,90000000.0
124,9,6,1,14,2,3,250000.0,48500000.0
125,26,21,1,7,2,9,200000.0,30000000.0
126,26,21,1,5,3,3,120.0,26000000.0
127,4,14,1,18,0,5,86000.0,230000000.0
128,10,21,1,5,2,3,500.0,30000000.0
129,17,14,1,21,3,7,63.0,44500000.0
130,3,14,0,20,0,4,49000.0,257000000.0
131,24,23,1,13,1,3,189000.0,56000000.0
132,17,1,1,5,2,8,250000.0,16300000.0
133,5,14,1,22,0,3,0.0,30000000.0
134,27,7,1,19,3,7,80000.0,81000000.0
135,25,6,1,20,0,3,45000.0,87000000.0
136,19,14,1,20,0,3,39000.0,45500000.0
137,8,14,1,17,0,4,138000.0,67000000.0
138,2,14,1,19,0,7,82.0,51800000.0
139,24,6,1,9,2,3,230000.0,32000000.0
140,24,24,1,8,0,3,240000.0,42000000.0
141,26,11,1,4,0,3,25333.0,2200000.0
142,10,14,1,20,0,7,54000.0,74000000.0
143,24,24,1,19,2,3,90000.0,64500000.0
144,26,21,1,9,2,3,168000.0,35900000.0
145,24,5,1,6,2,9,300.0,33000000.0
146,26,26,1,6,2,8,60000.0,26000000.0
147,20,14,1,15,3,3,210000.0,31000000.0
148,21,14,1,15,0,3,88.0,39000000.0
149,25,14,1,20,0,0,60000.0,91600000.0
150,9,23,1,8,2,7,1.0,31500000.0
151,25,14,1,18,0,1,60000.0,82000000.0
152,24,6,1,21,2,3,39000.0,78000000.0
153,13,14,1,16,2,0,180.0,33000000.0
154,17,14,1,22,0,5,0.0,29500000.0
155,2,14,1,19,2,2,92000.0,46000000.0
156,25,14,1,21,0,7,30000.0,99000000.0
157,24,15,1,13,1,0,150000.0,53000000.0
158,26,5,1,9,2,3,300000.0,30000000.0
159,13,14,1,21,0,3,38000.0,51500000.0
160,24,14,1,20,0,3,61000.0,79800000.0
161,24,14,1,19,0,1,12345.0,74000000.0
162,15,6,1,13,2,4,204000.0,34000000.0
163,24,26,1,6,3,3,360000.0,33000000.0
164,26,23,1,12,0,5,250000.0,41000000.0
165,21,14,1,14,0,7,141000.0,34000000.0
166,6,14,1,21,0,3,15000.0,125000000.0
167,19,14,1,20,3,7,68900.0,44500000.0
168,24,23,1,9,1,4,300000.0,39000000.0
169,26,26,1,5,2,0,300000.0,21800000.0
170,11,24,1,18,0,3,78000.0,43000000.0
171,3,14,0,21,0,5,360.0,272000000.0
172,26,5,1,8,0,3,0.0,34000000.0
173,10,14,1,12,2,5,280.0,42000000.0
174,24,6,1,18,0,9,97000.0,72000000.0
175,25,14,1,17,0,3,119000.0,73500000.0
176,19,14,1,20,0,9,44000.0,40000000.0
177,17,14,1,11,1,5,222222.0,24500000.0
178,19,14,1,19,0,3,82000.0,42200000.0
179,19,14,1,20,1,3,79.0,42500000.0
180,17,14,1,20,0,3,27.0,45500000.0
181,13,14,1,20,0,3,75000.0,48500000.0
182,25,10,0,9,1,8,230.0,53000000.0
183,10,23,1,13,0,2,200.0,60000000.0
184,17,2,1,8,1,2,360000.0,21500000.0
185,24,23,1,9,0,1,111.0,33500000.0
186,26,26,1,6,2,4,300000.0,27000000.0
187,4,14,1,19,0,3,65.0,200000000.0
188,26,1,1,4,2,8,300000.0,21500000.0
189,15,15,1,20,0,7,59000.0,48700000.0
190,26,23,1,9,3,4,1.0,33000000.0
191,26,23,1,16,0,9,140.0,54000000.0
192,12,21,1,11,3,7,170.0,25000000.0
193,24,23,1,6,2,8,250000.0,32000000.0
194,13,14,1,21,0,8,35000.0,48500000.0
195,12,14,1,16,0,0,230.0,43000000.0
196,19,14,1,19,3,3,100000.0,40000000.0
197,24,14,1,22,0,7,0.0,75000000.0
198,8,14,1,15,0,3,170000.0,58000000.0
199,8,14,1,19,0,3,72000.0,79000000.0
200,2,14,1,22,0,3,0.0,35000000.0
201,19,14,1,22,0,3,0.0,49000000.0
202,19,20,1,12,2,6,190000.0,26500000.0
203,20,14,1,12,2,8,290.0,28000000.0
204,27,21,1,5,2,3,150000.0,31000000.0
205,10,14,1,19,3,3,38000.0,72500000.0
206,19,14,1,22,0,3,7000.0,47500000.0
207,20,14,1,14,2,3,170.0,32000000.0
208,13,14,1,20,0,3,37000.0,46500000.0
209,24,14,1,22,0,7,0.0,90000000.0
210,8,14,1,18,0,5,130000.0,75000000.0
211,26,23,1,14,2,3,190000.0,40000000.0
212,24,14,1,13,2,1,400.0,41000000.0
213,8,14,1,19,0,1,111.0,73000000.0
214,9,9,1,9,2,1,12536.0,30000000.0
215,13,14,1,19,0,4,66.0,49000000.0
216,10,14,1,20,0,7,60000.0,73500000.0
217,21,14,1,21,3,8,22.0,47200000.0
218,24,6,1,13,3,3,125.0,58000000.0
219,2,6,1,19,1,8,48000.0,45000000.0
220,23,23,1,11,2,9,0.0,25000000.0
221,20,21,1,7,1,0,25000.0,18000000.0
222,26,7,1,15,0,5,0.0,55000000.0
223,21,14,1,15,2,0,216000.0,34000000.0
224,3,21,0,19,0,3,360.0,250000000.0
225,25,14,1,20,0,1,57000.0,91000000.0
226,25,14,1,14,1,3,204.0,60000000.0
227,21,14,1,19,0,3,160000.0,40000000.0
228,13,14,1,18,0,3,60.0,45000000.0
229,27,14,1,20,0,9,57000.0,88000000.0
230,26,21,1,9,3,9,1000.0,35000000.0
231,15,15,1,13,1,3,116000.0,35000000.0
232,26,6,1,20,3,8,83000.0,68000000.0
233,27,5,1,3,2,3,240000.0,29000000.0
234,9,14,1,15,1,8,230000.0,60000000.0
235,27,6,1,10,2,3,275000.0,46000000.0
236,24,14,1,22,0,3,0.0,87500000.0
237,27,14,1,14,2,3,140.0,60000000.0
238,17,14,1,21,2,8,50000.0,45500000.0
239,26,6,1,10,3,3,210000.0,38400000.0
240,24,1,1,8,2,7,370000.0,39000000.0
241,13,24,1,19,0,8,76000.0,45500000.0
242,24,14,1,20,2,1,60000.0,80000000.0
243,19,14,1,21,0,6,35000.0,47000000.0
244,24,14,1,15,2,3,40000.0,61000000.0
